3,38.5,868,1,B
2.9,24.3,988,1,B
2.8,31.4,1363,1,B
2.9,33.8,988,1,B
2.3,21.2,1026,1,B
3.1,22,406,2,A
7.3,47.9,464,2,A
2.6,13.3,364,2,A
9.3,47.9,406,2,A
2.8,17.3,420,2,A
4.8,43.2,435,2,A
2.8,22.8,420,2,A
5.1,41.6,435,2,A
9.2,45.5,660,1,C
9.2,55.4,800,1,C
10.8,45.5,608,1,C
8.1,49.5,736,1,C
9.3,51.5,800,1,C
9,45.5,736,1,C
3,38.5,868,1,B
2.9,24.3,988,1,B
2.8,31.4,1363,1,B
2.9,33.8,988,1,B
2.3,21.2,1026,1,B
3.1,22,406,2,A
7.3,47.9,464,2,A
2.6,13.3,364,2,A
9.3,47.9,406,2,A
2.8,17.3,420,2,A
4.8,43.2,435,2,A
2.8,22.8,420,2,A
5.1,41.6,435,2,A
9.2,45.5,660,1,C
9.2,55.4,800,1,C
10.8,45.5,608,1,C
8.1,49.5,736,1,C
9.3,51.5,800,1,C
9,45.5,736,1,C
3,38.5,868,1,B
2.9,24.3,988,1,B
2.8,31.4,1363,1,B
2.9,33.8,988,1,B
2.3,21.2,1026,1,B
3.1,22,406,2,A
7.3,47.9,464,2,A
2.6,13.3,364,2,A